,id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
53,15003,9197,163.019011,72.997076,0.894142,9437,108.212680,0.577230,390.877,0.756442,2.233227,0
54,16003,9086,163.658392,72.095658,0.897740,9352,107.557680,0.554701,391.318,0.745629,2.270017,0
55,17003,8435,158.663146,68.365798,0.902406,8593,103.632888,0.819250,370.917,0.770445,2.320797,0
56,18003,7753,156.477641,63.291697,0.914548,7906,99.355051,0.569153,363.923,0.735632,2.472325,0
57,4,3073,77.033628,51.928487,0.738639,3157,62.551300,0.783529,210.657,0.870203,1.483456,1
58,1004,6110,144.347328,55.227136,0.923915,6277,88.201438,0.546512,327.269,0.716872,2.613703,1
59,2004,4960,131.990656,48.332950,0.930542,5061,79.468661,0.541307,293.668,0.722734,2.730863,1
60,3004,6238,150.683148,53.729132,0.934269,6477,89.120527,0.493201,351.833,0.633260,2.804496,1
61,4004,6290,152.542249,53.213316,0.937181,6449,89.491210,0.701461,339.589,0.685414,2.866618,1
62,5004,7414,167.812858,57.330296,0.939834,7618,97.158623,0.481429,379.811,0.645844,2.927124,1
63,6004,5857,151.273147,50.642417,0.942298,6052,86.356031,0.512693,338.177,0.643572,2.987084,1
64,7004,6800,164.641725,54.050703,0.944576,6994,93.048530,0.744961,368.327,0.629871,3.046061,1
65,8004,5984,154.369817,49.613004,0.946947,6147,87.287258,0.462192,342.811,0.639870,3.111479,1
66,9004,5911,156.533370,49.010774,0.949720,6085,86.753207,0.550885,343.138,0.630860,3.193856,1
67,10004,7098,175.079163,52.783889,0.953471,7393,95.065526,0.531049,387.739,0.593290,3.316905,1
68,11004,8263,149.099552,71.442254,0.877729,8559,102.570846,0.659563,365.840,0.775828,2.086994,0
69,12004,8615,154.373855,72.503982,0.882845,8894,104.732797,0.596483,373.806,0.774770,2.129178,0
70,13004,7815,148.281425,68.403634,0.887239,8032,99.751527,0.616714,360.242,0.756746,2.167742,0
71,14004,8409,154.174180,70.086078,0.890701,8743,103.473046,0.591600,385.731,0.710207,2.199783,0
72,15004,6946,141.898515,63.537309,0.894151,7164,94.042128,0.765653,340.036,0.754909,2.233310,0
73,16004,8466,157.708068,69.473258,0.897744,8651,103.823148,0.569181,371.996,0.768797,2.270054,0
74,17004,9116,165.032523,71.109378,0.902409,9385,107.735100,0.553088,389.929,0.753430,2.320826,0
75,18004,6439,142.885398,57.781906,0.914585,6536,90.544958,0.691399,327.814,0.752962,2.472840,0
76,5,3693,85.124785,56.374021,0.749282,3802,68.571668,0.769375,230.332,0.874743,1.510000,1
77,1005,5088,130.894018,50.078237,0.923920,5203,80.487532,0.564769,299.017,0.715097,2.613790,1
78,2005,4886,132.399887,48.480898,0.930548,5032,78.873623,0.783013,297.345,0.694452,2.730970,1
79,3005,6659,155.828979,55.563184,0.934270,6846,92.078782,0.649595,359.024,0.649190,2.804537,1
80,4005,6510,155.735274,54.326867,0.937182,6671,91.042789,0.477798,350.488,0.665954,2.866635,1
81,5005,6991,162.701647,55.583686,0.939835,7168,94.346265,0.571160,368.850,0.645728,2.927147,1
82,6005,5869,150.787666,50.478044,0.942303,6029,86.444450,0.503388,334.093,0.660753,2.987193,1
83,7005,6198,156.550915,51.393458,0.944578,6351,88.834333,0.466471,346.037,0.650454,3.046125,1
84,8005,6651,164.348122,52.819677,0.946947,6884,92.023455,0.511419,364.236,0.629986,3.111494,1
85,9005,5441,151.123366,47.316657,0.949720,5625,83.232784,0.810155,329.938,0.628093,3.193872,1
86,10005,6800,171.455584,51.690290,0.953473,6997,93.048530,0.710554,372.901,0.614514,3.316979,1
87,11005,6507,133.387867,63.913732,0.877729,6740,91.021809,0.577374,326.468,0.767201,2.086999,0
88,12005,9016,156.965992,73.720004,0.882850,9170,107.142558,0.616436,377.138,0.796569,2.129218,0
89,13005,8408,153.205666,70.674105,0.887243,8623,103.466894,0.625968,366.808,0.785281,2.167777,0
90,14005,8597,156.286353,71.043526,0.890710,8767,104.623326,0.720681,372.166,0.779980,2.199868,0
91,15005,8645,158.346951,70.901437,0.894154,8896,104.914993,0.560345,379.318,0.755037,2.233339,0
92,16005,8794,159.913685,70.441317,0.897755,9049,105.815257,0.558562,390.826,0.723485,2.270169,0
93,17005,8143,156.261205,67.329300,0.902411,8341,101.823325,0.654056,368.974,0.751628,2.320850,0
94,18005,6786,147.650847,59.708727,0.914586,7025,92.952695,0.721301,345.296,0.715222,2.472852,0
95,6,2990,77.417073,50.954344,0.752861,3080,61.700780,0.584898,216.930,0.798439,1.519342,1
96,1006,5603,137.667110,52.666293,0.923930,5759,84.462780,0.542296,314.120,0.713574,2.613951,1
97,2006,5311,136.968449,50.153730,0.930548,5447,82.232446,0.728532,310.950,0.690248,2.730972,1
98,3006,5889,146.160152,52.115258,0.934271,6015,86.591614,0.737970,330.740,0.676516,2.804556,1
99,4006,6246,152.107463,53.061087,0.937182,6390,89.177655,0.720166,342.219,0.670199,2.866648,1
100,5006,6073,152.330274,52.040007,0.939836,6262,87.933974,0.541990,339.515,0.662057,2.927176,1
101,6006,6129,154.272448,51.643594,0.942305,6259,88.338469,0.487357,341.845,0.659084,2.987252,1
102,7006,6004,154.147924,50.604443,0.944579,6211,87.433004,0.583196,342.434,0.643423,3.046134,1
103,8006,6499,161.633049,51.943657,0.946954,6649,90.965839,0.615610,358.338,0.636020,3.111699,1
104,9006,5938,157.985333,49.464654,0.949721,6134,86.951115,0.655408,348.364,0.614870,3.193904,1
105,10006,6629,168.441491,50.777062,0.953481,6769,91.871132,0.819913,364.126,0.628282,3.317275,1
106,11006,4596,145.843690,41.105306,0.959460,4723,76.497117,0.413012,313.942,0.585991,3.548050,1
107,12006,8812,155.510960,73.036454,0.882850,9085,105.923495,0.733844,385.390,0.745561,2.129224,0
108,13006,8358,152.615948,70.401984,0.887243,8523,103.158791,0.596659,363.090,0.796680,2.167779,0
109,14006,8819,158.639514,72.112272,0.890713,9065,105.965558,0.574752,378.780,0.772423,2.199896,0
110,15006,9530,165.807362,74.240593,0.894158,9912,110.154314,0.763989,399.713,0.749560,2.233379,0
111,16006,8163,154.791099,68.182923,0.897761,8403,101.948293,0.557963,369.410,0.751696,2.270233,0
112,17006,8324,157.716314,67.952188,0.902423,8531,102.948754,0.651942,371.554,0.757701,2.320989,0
113,18006,7086,150.117012,60.685843,0.914645,7195,94.985133,0.547943,344.433,0.750588,2.473674,0
114,7,3556,84.323564,55.413061,0.753762,3636,67.287739,0.750211,227.007,0.867148,1.521727,1
115,1007,6495,148.003441,56.612324,0.923953,6719,90.937841,0.639901,351.376,0.661066,2.614333,1
116,2007,5526,139.931164,51.238054,0.930549,5651,83.880401,0.502867,316.296,0.694118,2.731001,1
117,3007,4306,125.756570,44.839185,0.934274,4452,74.044375,0.492677,282.522,0.677921,2.804613,1
118,4007,6534,156.710567,54.666489,0.937183,6675,91.210455,0.473272,349.944,0.670489,2.866666,1
119,5007,6415,156.567885,53.486751,0.939838,6667,90.376057,0.536730,359.050,0.625312,2.927227,1
120,6007,6368,157.640007,52.768263,0.942311,6538,90.044375,0.640322,353.781,0.639358,2.987402,1
121,7007,5692,150.420781,49.378365,0.944585,5914,85.130955,0.503494,332.975,0.645136,3.046289,1
122,8007,6272,158.622961,50.974147,0.946959,6436,89.363071,0.546532,353.451,0.630896,3.111832,1
123,9007,8719,150.950831,74.357327,0.870260,8905,105.363066,0.732258,366.890,0.813963,2.030073,0
124,10007,7607,141.760272,68.980350,0.873626,7753,98.415107,0.754663,342.906,0.812967,2.055082,0
125,11007,6379,171.582099,48.357032,0.959464,6585,90.122112,0.707206,368.915,0.588993,3.548235,1
126,12007,9088,157.581127,74.007856,0.882853,9300,107.569517,0.592284,377.810,0.800076,2.129249,0
127,13007,7172,141.423337,65.237851,0.887247,7316,95.559793,0.595879,337.651,0.790522,2.167811,0
128,14007,8709,157.105805,71.415003,0.890713,8956,105.302627,0.575802,381.607,0.751529,2.199899,0
129,15007,7968,151.343849,67.762134,0.894166,8147,100.723248,0.578229,358.219,0.780301,2.233458,0
130,16007,8344,156.395196,68.888155,0.897765,8567,103.072357,0.752525,371.016,0.761726,2.270277,0
131,17007,9737,170.558721,73.483964,0.902427,10037,111.344212,0.552862,403.233,0.752528,2.321033,0
132,18007,6355,142.828586,57.739423,0.914646,6534,89.952417,0.551266,337.698,0.700275,2.473675,0
133,8,3788,86.952411,56.444769,0.760664,3866,69.448048,0.800676,235.476,0.858473,1.540487,1
134,1008,6415,147.785021,56.520997,0.923974,6583,90.376057,0.515427,342.041,0.689049,2.614692,1
135,2008,7148,159.001327,58.219373,0.930553,7298,95.399771,0.732002,358.801,0.697730,2.731072,1
136,3008,5909,146.853610,52.360782,0.934276,6091,86.738529,0.552966,332.710,0.670799,2.804649,1
137,4008,6396,154.477425,53.886310,0.937186,6559,90.242119,0.489440,346.475,0.669537,2.866729,1
138,5008,6604,158.487577,54.142013,0.939839,6780,91.697731,0.677333,352.581,0.667574,2.927257,1
139,6008,5996,152.900267,51.181526,0.942311,6154,87.374735,0.485585,337.567,0.661228,2.987411,1
140,7008,6197,156.348201,51.323239,0.944587,6365,88.827166,0.759250,346.486,0.648664,3.046343,1
141,8008,6441,161.188265,51.797715,0.946961,6644,90.559019,0.572635,358.198,0.630837,3.111880,1
142,9008,5919,156.808964,49.095961,0.949722,6042,86.811894,0.805964,343.294,0.631140,3.193928,1
143,10008,6341,130.666069,63.581501,0.873627,6484,89.853280,0.587130,316.670,0.794610,2.055096,0
144,11008,8889,154.376263,73.966635,0.877743,9079,106.385273,0.705476,371.860,0.807800,2.087107,0
145,12008,8784,155.078585,72.832378,0.882854,8975,105.755076,0.726731,372.472,0.795637,2.129253,0
146,13008,9116,159.590853,73.618105,0.887248,9361,107.735100,0.596207,382.756,0.781934,2.167821,0
147,14008,6850,140.111389,63.689527,0.890714,7155,93.389993,0.753741,338.721,0.750268,2.199913,0
148,15008,7802,150.051380,67.183288,0.894166,8014,99.668525,0.617345,356.139,0.772995,2.233463,0
149,16008,7522,147.935361,65.160681,0.897769,7652,97.863721,0.574023,349.668,0.773092,2.270316,0
150,17008,9049,164.287797,70.779479,0.902435,9234,107.338458,0.616081,385.838,0.763837,2.321122,0
151,18008,9296,172.170413,69.584349,0.914688,9517,108.793542,0.651163,399.904,0.730457,2.474269,0
152,9,2629,74.133114,48.074144,0.761228,2790,57.856260,0.640595,207.325,0.768594,1.542058,1
153,1009,5491,136.080478,52.041333,0.923984,5578,83.614343,0.511504,306.582,0.734122,2.614854,1
154,2009,6472,150.766360,55.203577,0.930555,6592,90.776684,0.547084,337.722,0.713066,2.731098,1
155,3009,4812,132.062154,47.086599,0.934277,4973,78.274061,0.514103,295.794,0.691125,2.804665,1
156,4009,6427,155.181699,54.131107,0.937188,6501,90.460547,0.840131,345.618,0.676123,2.866775,1
157,5009,6886,162.548932,55.529109,0.939840,7087,93.635076,0.777640,363.638,0.654393,2.927274,1
158,6009,5609,147.767189,49.460926,0.942317,5761,84.507991,0.473014,330.151,0.646651,2.987554,1
159,7009,6277,156.678226,51.430895,0.944588,6419,89.398684,0.788964,344.898,0.663102,3.046383,1
160,8009,6471,162.121713,52.097412,0.946961,6661,90.769671,0.549741,356.701,0.639106,3.111896,1
161,9009,6648,165.622170,51.851906,0.949729,6841,92.002698,0.451018,363.281,0.633017,3.194139,1
162,10009,6853,134.844439,65.614073,0.873630,6972,93.410442,0.720307,325.680,0.811911,2.055115,0
163,11009,5489,158.401349,44.617029,0.959511,5598,83.599114,0.828904,337.016,0.607298,3.550244,1
164,12009,8046,148.146488,69.576683,0.882854,8238,101.215045,0.598661,358.780,0.785477,2.129255,0
165,13009,8671,155.359174,71.665825,0.887249,8836,105.072642,0.699669,372.621,0.784774,2.167828,0
166,14009,6812,139.115231,63.234568,0.890722,6931,93.130595,0.586483,332.490,0.774332,2.199987,0
167,15009,7371,146.808882,65.730969,0.894168,7577,96.876461,0.759740,349.936,0.756413,2.233481,0
168,16009,6577,138.568181,61.034247,0.897770,6692,91.510090,0.628056,328.013,0.768167,2.270335,0
169,17009,6705,141.503040,60.961931,0.902439,6816,92.396272,0.555786,330.919,0.769423,2.321171,0
170,18009,6184,140.136518,56.620271,0.914743,6329,88.733947,0.696161,326.614,0.728467,2.475024,0
171,10,5719,106.721142,68.977700,0.763053,5819,85.332625,0.754983,281.839,0.904748,1.547183,1
172,1010,6986,154.200558,58.966345,0.923997,7130,94.312520,0.490659,354.930,0.696872,2.615060,1
173,2010,6679,153.445180,56.184421,0.930555,6975,92.216956,0.501728,375.965,0.593781,2.731098,1
174,3010,5692,144.272222,51.439800,0.934277,5832,85.130955,0.484756,328.093,0.664478,2.804681,1
175,4010,6258,152.578015,53.222047,0.937190,6434,89.263280,0.489212,342.168,0.671687,2.866820,1
176,5010,7044,163.463273,55.840853,0.939841,7216,94.703217,0.716728,368.394,0.652235,2.927306,1
177,6010,6170,154.493869,51.712170,0.942318,6315,88.633447,0.523502,343.271,0.657992,2.987573,1
178,7010,6784,164.349722,53.949120,0.944588,7025,92.938997,0.561171,368.908,0.626411,3.046384,1
179,8010,5761,152.496671,49.003309,0.946964,5920,85.645391,0.478012,338.336,0.632428,3.111967,1
180,9010,6819,168.018625,52.598954,0.949735,7019,93.178433,0.515653,366.370,0.638397,3.194334,1
181,10010,9964,162.397331,79.020252,0.873633,10217,112.634625,0.653548,400.121,0.782097,2.055136,0
182,11010,7392,140.767198,67.440185,0.877766,7587,97.014363,0.691746,342.642,0.791208,2.087290,0
183,12010,7651,144.665580,67.941096,0.882857,7772,98.699320,0.674691,346.314,0.801656,2.129279,0
184,13010,9041,159.311829,73.488331,0.887251,9395,107.291000,0.557192,388.877,0.751280,2.167852,0
185,14010,8550,155.636805,70.743111,0.890726,8690,104.336945,0.755167,369.867,0.785389,2.200028,0
186,15010,8396,155.285705,69.526164,0.894168,8633,103.393033,0.666349,371.414,0.764831,2.233486,0
187,16010,9354,165.844502,73.048320,0.897771,9673,109.132409,0.745933,397.968,0.742183,2.270340,0
188,17010,9094,164.426110,70.827888,0.902467,9250,107.605020,0.654999,382.918,0.779387,2.321488,0
189,18010,8508,165.240268,66.759213,0.914753,8834,104.080363,0.515636,387.812,0.710878,2.475168,0
190,11,2665,74.364021,48.053188,0.763178,2777,58.251038,0.596731,202.456,0.817045,1.547536,1
191,1011,6344,146.989016,56.201307,0.924017,6596,89.874533,0.642756,348.886,0.654947,2.615402,1
192,2011,5229,136.414243,49.947909,0.930556,5384,81.595157,0.808442,309.899,0.684208,2.731130,1
193,3011,5976,147.976880,52.760159,0.934279,6117,87.228892,0.489916,334.560,0.670923,2.804709,1
194,4011,6020,149.801415,52.252766,0.937192,6155,87.549426,0.479911,337.024,0.666016,2.866861,1
195,5011,4985,137.388083,46.931938,0.939845,5076,79.668684,0.474581,305.680,0.670411,2.927390,1
196,6011,5590,147.894158,49.500410,0.942324,5803,84.364738,0.465833,331.141,0.640613,2.987736,1
197,7011,8035,143.378479,73.424906,0.858923,8182,101.145834,0.796965,352.318,0.813441,1.952723,0
198,8011,4879,140.650194,45.196297,0.946964,5024,78.817103,0.432306,312.750,0.626825,3.111985,1
199,9011,7972,144.254258,71.058143,0.870262,8142,100.748527,0.610040,351.511,0.810773,2.030088,0
200,10011,7466,141.106627,68.659225,0.873638,7717,97.498751,0.601127,346.001,0.783688,2.055174,0
201,11011,4822,148.919733,41.937826,0.959528,5004,78.355351,0.431460,321.779,0.585223,3.550965,1
202,12011,8032,148.114900,69.559252,0.882863,8161,101.126950,0.702098,353.161,0.809260,2.129334,0
203,13011,8996,158.633972,73.175589,0.887252,9198,107.023656,0.807033,379.559,0.784695,2.167854,0
204,14011,9940,168.066089,76.390074,0.890734,10218,112.498894,0.697250,403.328,0.767856,2.200104,0
205,15011,8645,158.002432,70.742399,0.894169,8946,104.914993,0.558174,377.506,0.762302,2.233490,0
206,16011,6327,136.006599,59.904773,0.897775,6429,89.754034,0.569077,319.043,0.781105,2.270380,0
207,17011,9495,168.096029,72.405963,0.902475,9662,109.951851,0.612581,395.473,0.762906,2.321577,0
208,18011,7681,156.974625,63.416791,0.914762,7922,98.892633,0.802026,365.003,0.724494,2.475285,0
209,12,3231,81.304200,52.451136,0.764080,3330,64.139200,0.614960,218.773,0.848319,1.550094,1
210,1012,5044,131.267548,50.186955,0.924028,5184,80.138756,0.521074,298.134,0.713119,2.615571,1
211,2012,6275,149.520435,54.744864,0.930561,6479,89.384440,0.776129,343.129,0.669744,2.731223,1
212,3012,5914,146.326347,52.171352,0.934280,6052,86.775219,0.533081,329.452,0.684710,2.804726,1
213,4012,6853,159.295033,55.563663,0.937194,7025,93.410442,0.704461,358.188,0.671226,2.866892,1
214,5012,5550,145.285506,49.628889,0.939847,5682,84.062355,0.546260,322.479,0.670656,2.927438,1
215,6012,6483,158.657036,53.101838,0.942326,6669,90.853794,0.477886,355.919,0.643107,2.987788,1
216,7012,5982,123.799689,63.383615,0.858994,6150,87.272670,0.616637,307.652,0.794213,1.953181,0
217,8012,6670,163.712782,52.605069,0.946969,6811,92.154803,0.577389,362.730,0.637043,3.112110,1
218,9012,6403,130.150774,64.107382,0.870277,6612,90.291488,0.629969,317.493,0.798225,2.030200,0
219,10012,5378,151.585354,45.695243,0.953482,5499,82.749515,0.802088,330.516,0.618651,3.317311,1
220,11012,5864,163.981366,46.169968,0.959545,6026,86.407619,0.480616,356.777,0.578909,3.551689,1
221,12012,8123,149.037483,69.990133,0.882872,8327,101.698205,0.676240,358.157,0.795755,2.129407,0
222,13012,8987,158.440807,73.085428,0.887255,9256,106.970107,0.570422,380.375,0.780550,2.167885,0
223,14012,7609,147.140234,66.878508,0.890735,7861,98.428043,0.576439,359.765,0.738754,2.200112,0
224,15012,8660,157.892945,70.690422,0.894178,8889,105.005973,0.569362,375.373,0.772328,2.233583,0
225,16012,9519,167.224819,73.654657,0.897776,9804,110.090723,0.550868,398.183,0.754459,2.270390,0
226,17012,7676,152.377946,65.632114,0.902486,7920,98.860441,0.720751,360.083,0.743943,2.321698,0
227,18012,6613,145.519929,58.757351,0.914858,6808,91.760193,0.742533,339.432,0.721278,2.476625,0
228,13,2805,77.047682,49.242678,0.769107,2950,59.761500,0.603226,209.823,0.800639,1.564653,1
229,1013,6388,147.263218,56.302377,0.924028,6535,90.185665,0.591920,341.344,0.688954,2.615577,1
230,2013,7036,157.545091,57.682778,0.930562,7193,94.649424,0.787730,357.998,0.689881,2.731233,1
231,3013,6375,152.306580,54.303471,0.934280,6539,90.093852,0.521174,343.231,0.680013,2.804730,1
232,4013,6339,154.757266,53.979401,0.937197,6586,89.839109,0.504055,345.596,0.666950,2.866969,1
233,5013,6140,152.504948,52.094054,0.939849,6304,88.417706,0.680106,342.864,0.656348,2.927492,1
234,6013,5536,146.774864,49.123629,0.942329,5681,83.956263,0.590696,330.799,0.635737,2.987867,1
235,7013,6636,161.992061,53.171254,0.944597,6776,91.919626,0.828775,355.748,0.658918,3.046610,1
236,8013,5494,149.907608,48.168861,0.946969,5666,83.637181,0.692114,332.501,0.624471,3.112127,1
237,9013,6458,163.379939,51.145770,0.949737,6629,90.678448,0.766346,359.147,0.629163,3.194398,1
238,10013,6285,165.744106,49.962908,0.953483,6517,89.455634,0.485853,359.721,0.610356,3.317343,1
239,11013,5384,157.355448,44.287731,0.959576,5532,82.795662,0.562591,336.587,0.597201,3.553026,1
240,12013,9829,164.387910,77.198768,0.882872,10150,111.868993,0.768371,402.219,0.763474,2.129411,0
241,13013,9661,164.347530,75.808319,0.887261,10044,110.908824,0.623290,421.401,0.683661,2.167935,0
242,14013,8463,155.055859,70.474956,0.890740,8734,103.804751,0.644211,371.513,0.770524,2.200155,0
243,15013,7389,145.884567,65.312898,0.894183,7548,96.994675,0.656275,347.017,0.771070,2.233626,0
244,16013,8670,159.429517,70.218450,0.897784,8867,105.066583,0.800332,375.598,0.772294,2.270479,0
245,17013,9616,169.573679,73.038068,0.902488,9870,110.650221,0.706435,400.226,0.754386,2.321716,0
246,18013,6592,144.760905,58.448440,0.914866,6713,91.614382,0.565934,331.107,0.755597,2.476728,0
247,14,3265,83.378487,52.764865,0.774286,3420,64.475787,0.575838,227.853,0.790285,1.580190,1
248,1014,5963,143.052831,54.687140,0.924044,6158,87.133962,0.724104,327.647,0.698011,2.615840,1
249,2014,5358,137.758729,50.434828,0.930572,5514,82.595505,0.629464,313.911,0.683281,2.731421,1
250,3014,5807,145.816421,51.989194,0.934281,5968,85.986639,0.667471,332.883,0.658534,2.804745,1
251,4014,4841,134.005019,46.740514,0.937198,4986,78.509570,0.470823,302.536,0.664647,2.866999,1
252,5014,6364,155.267597,53.037462,0.939850,6547,90.016090,0.521939,346.885,0.664613,2.927508,1
253,6014,5462,145.398730,48.662816,0.942330,5620,83.393251,0.465644,326.214,0.644995,2.987882,1
254,7014,6883,165.157005,54.209739,0.944597,7041,93.614677,0.539082,366.898,0.642535,3.046630,1
255,8014,5484,149.735911,48.110819,0.946976,5640,83.561030,0.445419,334.469,0.616021,3.112313,1
256,9014,5710,154.132076,48.250556,0.949738,5829,85.265455,0.450032,336.560,0.633463,3.194410,1
257,10014,6378,165.212325,49.801931,0.953485,6586,90.115048,0.668553,359.040,0.621740,3.317388,1
258,11014,6694,175.048884,49.261655,0.959586,6894,92.320450,0.443311,390.802,0.550785,3.553451,1
259,12014,8530,153.412544,72.042826,0.882878,8802,104.214842,0.606470,370.308,0.781687,2.129463,0
260,13014,8723,156.025626,71.969611,0.887261,8922,105.387231,0.781001,371.430,0.794551,2.167938,0
261,14014,9607,164.757423,74.882227,0.890747,9820,110.598428,0.623831,392.761,0.782602,2.200221,0
262,15014,8260,154.505697,69.172388,0.894183,8471,102.552224,0.564670,367.572,0.768254,2.233633,0
263,16014,10127,171.963122,75.735603,0.897793,10348,113.552177,0.589877,408.847,0.761323,2.270572,0
264,17014,8102,155.621290,67.027371,0.902491,8282,101.566662,0.651705,366.096,0.759648,2.321757,0
265,18014,6702,145.669724,58.804401,0.914899,6817,92.375600,0.575378,334.961,0.750630,2.477191,0
